sweep_value,power_T1,power_T2
0,0.04666666666666667,0.056666666666666664
0.5,0.18333333333333332,0.2
1,0.6133333333333333,0.5866666666666667
1.5,0.94,0.9166666666666666
2,0.9866666666666667,0.9833333333333333
2.5,1,1
3,1,1
3.5,1,1
4,1,1
4.5,1,1
5,1,1
5.5,1,1
6,1,1
