arm_ate_pct_T1,sweep_param,sweep_value,experiment_type,outcome_dist,power_ITT_participation_T1,power_TOT_participation_T1,power_ITT_VCU_T1,power_TOT_VCU_T1,power_ITT_participation,power_TOT_participation,power_ITT_VCU,power_TOT_VCU,arm_VCU_delta_mean_T1,swept_arm
1,ate_pct,1,community_level,negbin,0.02666666666666667,0.02666666666666667,0.22333333333333333,0.22666666666666666,0.02666666666666667,0.02666666666666667,0.22333333333333333,0.22666666666666666,15,T1
1.05,ate_pct,1.05,community_level,negbin,0.06,0.056666666666666664,0.24,0.24333333333333335,0.06,0.056666666666666664,0.24,0.24333333333333335,15,T1
1.1,ate_pct,1.1,community_level,negbin,0.08333333333333333,0.08,0.26,0.26,0.08333333333333333,0.08,0.26,0.26,15,T1
1.15,ate_pct,1.15,community_level,negbin,0.09666666666666666,0.09666666666666666,0.23,0.23,0.09666666666666666,0.09666666666666666,0.23,0.23,15,T1
1.2,ate_pct,1.2,community_level,negbin,0.14666666666666667,0.14666666666666667,0.26666666666666666,0.26,0.14666666666666667,0.14666666666666667,0.26666666666666666,0.26,15,T1
1.25,ate_pct,1.25,community_level,negbin,0.18666666666666668,0.18333333333333332,0.24333333333333335,0.24666666666666667,0.18666666666666668,0.18333333333333332,0.24333333333333335,0.24666666666666667,15,T1
1.3,ate_pct,1.3,community_level,negbin,0.23333333333333334,0.23333333333333334,0.21666666666666667,0.21666666666666667,0.23333333333333334,0.23333333333333334,0.21666666666666667,0.21666666666666667,15,T1
