arm_soc_outcome_ate_pct_T1,sweep_param,sweep_value,experiment_type,outcome_dist,power_ITT_soc_outcome_T1,power_TOT_soc_outcome_T1,power_ITT_env_outcome_T1,power_TOT_env_outcome_T1,power_ITT_soc_outcome,power_TOT_soc_outcome,power_ITT_env_outcome,power_TOT_env_outcome,power_ITT_outcome,power_TOT_outcome,arm_env_outcome_ate_T1,swept_arm
1.05,soc_outcome_ate_pct_single,1.05,community_level,negbin,0.71,0.71,1,1,0.71,0.71,1,1,0.71,0.71,10,T1
1.1,soc_outcome_ate_pct_single,1.1,community_level,negbin,0.7233333333333334,0.7266666666666667,1,1,0.7233333333333334,0.7266666666666667,1,1,0.7233333333333334,0.7266666666666667,10,T1
1.1500000000000001,soc_outcome_ate_pct_single,1.1500000000000001,community_level,negbin,0.74,0.7433333333333333,1,1,0.74,0.7433333333333333,1,1,0.74,0.7433333333333333,10,T1
1.2000000000000002,soc_outcome_ate_pct_single,1.2000000000000002,community_level,negbin,0.7633333333333333,0.7733333333333333,1,1,0.7633333333333333,0.7733333333333333,1,1,0.7633333333333333,0.7733333333333333,10,T1
1.25,soc_outcome_ate_pct_single,1.25,community_level,negbin,0.8,0.81,1,1,0.8,0.81,1,1,0.8,0.81,10,T1
1.3,soc_outcome_ate_pct_single,1.3,community_level,negbin,0.77,0.7733333333333333,1,1,0.77,0.7733333333333333,1,1,0.77,0.7733333333333333,10,T1
1.35,soc_outcome_ate_pct_single,1.35,community_level,negbin,0.82,0.82,1,1,0.82,0.82,1,1,0.82,0.82,10,T1
1.4,soc_outcome_ate_pct_single,1.4,community_level,negbin,0.82,0.82,1,1,0.82,0.82,1,1,0.82,0.82,10,T1
